Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
1652215403.079282,-86013.62538500136,-14787.668262442145,-15371.048792725658,-15840.211908842553,-181787.72113176837,-187500.02235174447,-184390.20179393314,-187500.02235174447
1652215403.087205,-85975.26979151605,-14784.136686818205,-15367.18194093489,-15836.456815774061,-181786.33532361215,-187500.02235174447,-184388.83833752136,-187500.02235174447
1652215403.087215,-85949.54293364799,-14780.940387361097,-15363.605661822041,-15833.104054105766,-181785.24008813384,-187500.02235174447,-184387.6760468097,-187500.02235174447
1652215403.095162,-85973.03461707052,-14777.609977437256,-15359.828217009095,-15829.70658894856,-181784.18955614444,-187500.02235174447,-184386.53610784246,-187500.02235174447
1652215403.09517,-85995.76634118156,-14776.000651836473,-15357.883615241482,-15827.985504625502,-181784.81540498917,-187500.02235174447,-184387.0725497094,-187500.02235174447
1652215403.102364,-85964.16097452176,-14771.39619247868,-15353.055638439137,-15823.291638289886,-181782.42376833246,-187500.02235174447,-184384.63620956376,-187500.02235174447
1652215403.102379,-85924.9783664916,-14765.897663342676,-15347.17712964739,-15817.569591709327,-181779.11571015307,-187500.02235174447,-184381.39520661774,-187500.02235174447
1652215403.111239,-85945.54197139048,-14765.5847389203,-15346.394818591454,-15817.12255682022,-181780.99325668733,-187500.02235174447,-184383.20569791863,-187500.02235174447
1652215403.111248,-85979.38251249582,-14765.920015087131,-15346.193652891357,-15817.256667286954,-181783.54135555524,-187500.02235174447,-184385.55263108644,-187500.02235174447
1652215403.118234,-85959.40005295278,-14764.869483097731,-15344.807844735127,-15815.982617853,-181784.72599801136,-187500.02235174447,-184386.71492179812,-187500.02235174447
1652215403.118245,-85916.28353789849,-14760.39913420667,-15340.091626655058,-15811.400510239662,-181782.44612007693,-187500.02235174447,-184384.43504386366,-187500.02235174447
1652215403.125891,-85926.31947115893,-14760.265023739938,-15339.55518478813,-15811.042882328378,-181784.36837010007,-187500.02235174447,-184386.33494214236,-187500.02235174447
1652215403.125899,-85961.36700646485,-14757.985145805496,-15337.007085920226,-15808.740652649481,-181784.41307358898,-187500.02235174447,-184386.33494214236,-187500.02235174447
1652215403.132349,-85948.73827084759,-14753.358334703247,-15332.000295162237,-15804.046786313867,-181782.06614042117,-187500.02235174447,-184383.98800897456,-187500.02235174447
1652215403.132356,-85906.98521220508,-14751.458436424547,-15329.675713738885,-15801.945722335067,-181782.33436135465,-187500.02235174447,-184384.16682293022,-187500.02235174447
1652215403.139484,-85909.08627618388,-14748.10567475625,-15325.920620670393,-15798.481201944496,-181781.12736715405,-187500.02235174447,-184382.91512524072,-187500.02235174447
1652215403.147468,-85939.26113119855,-14744.864671810232,-15322.277286324179,-15795.016681553923,-181780.00977993128,-187500.02235174447,-184381.75283452903,-187500.02235174447
1652215403.147479,-85937.02595675302,-14742.003648519953,-15319.12569035598,-15791.976844308001,-181779.36157934208,-187500.02235174447,-184381.01522696202,-187500.02235174447
1652215403.15466,-85894.40118007675,-14740.126101985707,-15316.890515910449,-15790.054594284844,-181779.83096597565,-187500.02235174447,-184381.4175583622,-187500.02235174447
1652215403.154668,-85882.35358981533,-14738.561479873835,-15314.990617631749,-15788.288806472876,-181780.4568148204,-187500.02235174447,-184382.08811069585,-187500.02235174447
1652215403.161992,-85916.55175883195,-14735.856918794743,-15311.88372515246,-15785.427783182597,-181779.89802120902,-187500.02235174447,-184381.5293170845,-187500.02235174447
1652215403.162002,-85926.6323955813,-14733.442930393569,-15309.179164073368,-15782.902036059146,-181779.74155899783,-187500.02235174447,-184381.3281513844,-187500.02235174447
1652215403.170127,-85888.23209860708,-14733.085302482285,-15308.441556506343,-15782.365594192219,-181781.55205029872,-187500.02235174447,-184383.04923570744,-187500.02235174447
1652215403.170136,-85867.60143847483,-14731.6771425816,-15306.631065205464,-15780.778620335892,-181782.28965786574,-187500.02235174447,-184383.80919501893,-187500.02235174447
1652215403.178133,-85896.7257615001,-14728.257325679939,-15302.898323881427,-15777.179989478587,-181781.21677413187,-187500.02235174447,-184382.5798490739,-187500.02235174447
1652215403.178154,-85914.20482566414,-14724.837508778277,-15299.143230812935,-15773.603710365738,-181780.05448342022,-187500.02235174447,-184381.30579963993,-187500.02235174447
1652215403.184692,-85878.84436593585,-14721.730616298988,-15295.566951700086,-15770.183893464076,-181779.13806189754,-187500.02235174447,-184380.3670263728,-187500.02235174447
1652215403.184701,-85851.9105138672,-14719.562497086823,-15292.97414934327,-15767.747553318448,-181779.04865491972,-187500.02235174447,-184380.25526765053,-187500.02235174447
1652215403.192652,-85875.55865950092,-14718.020226719407,-15291.007195831204,-15766.115875973212,-181779.71920725337,-187500.02235174447,-184380.81406126192,-187500.02235174447
1652215403.192661,-85897.86570046732,-14714.421595862103,-15287.185047529347,-15762.472541626996,-181778.31104735268,-187500.02235174447,-184379.38354961676,-187500.02235174447
1652215403.199685,-85872.09413911036,-14713.125194683695,-15285.575721928564,-15761.0196782374,-181779.38393108654,-187500.02235174447,-184380.3670263728,-187500.02235174447
1652215403.207645,-85836.66662414868,-14712.186421416573,-15284.2569690057,-15759.857387525724,-181780.76973924277,-187500.02235174447,-184381.70813104013,-187500.02235174447
1652215403.207653,-85848.53540045445,-14706.822002747298,-15278.557274169598,-15754.425913623085,-181777.55108804122,-187500.02235174447,-184378.53418332746,-187500.02235174447
1652215403.21426,-85876.65389497923,-14700.831735233276,-15272.187026999836,-15748.301535642331,-181773.79599497272,-187500.02235174447,-184374.75673851452,-187500.02235174447
1652215403.214269,-85858.50427848152,-14698.037767176364,-15269.035431031638,-15745.261698396409,-181773.3042565947,-187500.02235174447,-184374.08618618085,-187500.02235174447
1652215403.222316,-85819.81340882939,-14698.820078232298,-15269.504817665198,-15745.954602474523,-181776.38879732954,-187500.02235174447,-184377.05896819342,-187500.02235174447
1652215403.222324,-85825.53545540995,-14697.34486309825,-15267.627271130952,-15744.322925129287,-181777.03699791874,-187500.02235174447,-184377.79657576044,-187500.02235174447
1652215403.230384,-85860.33712152686,-14694.059156663317,-15263.939233295827,-15740.836052994258,-181775.94176244043,-187500.02235174447,-184376.7683955155,-187500.02235174447
1652215403.23039,-85853.67630167918,-14692.516886295902,-15262.016983272671,-15739.182023904566,-181776.72407349636,-187500.02235174447,-184377.3271891269,-187500.02235174447
1652215403.237504,-85811.11858023627,-14689.544104283346,-15258.68657334883,-15736.119834914189,-181775.96411418487,-187500.02235174447,-184376.5225263265,-187500.02235174447
1652215403.237513,-85807.65405984569,-14684.559665269813,-15253.366858168467,-15730.978933689468,-181773.14779438352,-187500.02235174447,-184373.8179652474,-187500.02235174447
